Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,Material,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ ?,Module [TRUE/FALSE],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Stability. (H)
01/05/2018,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.09,pin,FALSE,1.55,168.3044983
04/02/2019,SLG ,ITO , Graphene oxide ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.04,pin,FALSE,1.55,139.3631539
04/02/2019,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.04,pin,FALSE,1.55,140.0483092
04/02/2019,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.04,pin,FALSE,1.55,140.0558214
25/08/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0919,pin,FALSE,1.27,2.5
06/08/2018 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.102,nip,FALSE,1.6,296.9902913
06/08/2018 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.102,nip,FALSE,1.6,76.36893204
16/09/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.126,nip-mp,FALSE,1.56,50.88
05/02/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.55,5.401350338
05/02/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.55,5.413782542
12/07/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , P3HT ,Blank,Blank,Blank,Au,0.03,nip-mp,FALSE,1.6,41.84235925
24/09/2014 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite , P3HT ,Blank,Blank,Blank,Ag,0.09,nip,FALSE,1.55,364.8257373
15/06/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0225,pin,FALSE,1.6,194.8333333
15/06/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0225,pin,FALSE,1.6,195.7931034
15/06/2017 00:00,SLG ,ITO , Graphene oxide ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0225,pin,FALSE,1.6,192.3030303
23/12/2015 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Al,0.09,pin,FALSE,1.6,48.5106383
08/07/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.9,121.3675214
23/08/2016,SLG ,ITO , PolyTPD ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, C60 , BCP ,Blank,Al,0.1,pin,FALSE,1.6,11.9047619
20/12/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,Blank,Blank,Blank,Blank,Carbon-nt,0.1,nip,FALSE,1.6,96.66666667
11/05/2013 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , Al2O3 , Spiro-MeOTAD ,Blank,Blank,Au,0.09,nip-mp,FALSE,1.51,6.863414634
17/07/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.04,pin,FALSE,1.6,102.6965854
25/07/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.48,118.1598063
03/12/2020,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.59,17.94117647
22/08/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,262.5
01/02/2019 00:00,SLG ,ITO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,177.7763878
